,Recall,PositiveRating,PerfRatio,Impact,Asian,Black,White,5_o_Clock_Shadow,Bald,Bangs,Blond_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,Male,Mustache,No_Beard,Sideburns,Wearing_Hat,Wearing_Lipstick,Wearing_Necktie,Young,top,right,bottom,left,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant,NewsID,Market % of US,% Af-Am,% Hispanic,% Asian
Alan Lee WJBK,0.797029703,0.652173913,4.04,52,-2.89866778511257,-3.72562789532051,-1.93807503643725,-5.47045911078127,-2.27682358764979,-9.71678902257321,-8.35065533170029,-8.32630241546564,0.136038484825272,-1.72253318732237,-8.0561923209184,-4.27031032719282,-4.57637515690908,-12.1476280017137,6.83575141327323,-2.36600927281597,0.83246036566353,-4.86924509932399,-2.10923925519373,-10.92272561776,-1.64082222340962,-2.5940574105785,36,262,222,77,0.015964662903478,-0.101411151431791,0.215093217220436,-0.207782672766581,-0.153280891171664,-0.010379891074262,-0.044368995856369,-0.189894882601732,-0.022852850542917,0.053720556655265,-0.064137681759075,0.059728087072568,-0.048680618053816,0.002942265461019,2,1.61%,21.44%,3.18%,3.50%
Alan Marsden KHSL___KNVN,0.7343194005,0.6101914909,4.38,45,-5.61483353531976,-3.46724822130689,2.71250844552434,-4.33304929018321,-1.38316062866302,-8.72641928387987,-5.05233204037319,-3.6028721888958,-4.25464029721325,-2.93189438406143,-8.02119845960299,-8.9032472480989,0.198570766142772,-11.1031688924819,7.9742905556117,-7.90559412604088,5.06663604312425,-11.1828940320372,-0.230937186162782,-10.5868710922263,-1.65899237401522,-2.11243882377759,36,262,222,77,0.030230942535271,0.120696975734534,-0.118893320198975,0.151573073213069,0.164375918754435,0.225026136534429,0.117540747384331,0.01356291565825,0.027138273056004,-0.043942165947999,0.031331576756409,0.157487048176508,0.100602870665021,0.127990367105177,2,0.17%,16.38%,3.59%,1.05%
Alan Wang KGO,0.49,0.53,3.41,26,6.38944954125516,-5.66294347704191,-5.72653557642671,-3.42284237349854,-5.64479235456917,-5.79622714443626,-9.9683393023142,-2.27652418208348,-2.08597043245427,-3.47125495279013,-5.63796181978161,-5.24022109048478,-4.61953710338425,-10.3075682958576,11.866404391406,-5.15152986684903,3.30380888791533,-8.65316717197443,-4.34900824829923,-9.74885130396549,0.205102448690501,-0.242074586844228,36,262,222,77,-0.093343277744994,-0.478595753103517,0.243106617831813,-0.336991547941177,-0.412759848702112,0.009077961791885,-0.189124789649286,-0.129563255776731,-0.005589811635202,0.068802929830191,-0.115284632564827,-0.255151401284165,-0.147367449591335,-0.282176620169414,2,2.18%,7.50%,17.19%,21.97%
Albert Flores WOAI,0.7285149503,0.6765205656,5.82,49,-2.87670584590407,-6.67387552065279,2.34044938044201,-6.05781350848156,-4.09725075772429,-6.40903689309582,-8.01106225808943,-1.35216249428853,-1.34780377344456,-1.4901064185365,-5.3275193544148,-10.6200559261335,-3.21253954596886,-9.42104365174998,6.54304137668439,-8.90680538267376,6.1297538408551,-10.8011762551999,-4.6716004285763,-8.4928598454274,-0.89375306734087,-4.00285147049537,19,266,242,43,-0.097220717390599,-0.10528068386875,0.04892868752164,-0.120334239301511,-0.073692529945114,0.091314790421434,-0.047258934679896,-0.07076261165961,-0.102052359738345,-0.089687010161405,-0.136910028293074,-0.045345008938474,0.001955207285359,-0.049940462940851,1,0.77%,7.64%,50.72%,2.38%
Alex Garcia FOX_29,0.6750826505,0.6141861379,4.9,41,1.95728135867748,-7.24716660916532,-1.68149437267036,-4.02940939953468,-4.59875121204163,-3.93206279082646,-8.4647689707145,1.15182977825455,-0.387083860087416,-0.805937636172951,-1.79583401836329,-8.15752339420964,-4.12024690596752,-8.01444300523044,7.23354734009339,-7.96868081721771,4.76052224732637,-10.1715061828059,-3.6269008837419,-8.01189333094311,0.089210878164853,-2.07595204702125,19,266,242,43,-0.014768710139301,-0.112522082843914,0.242108894308111,-0.148912932846402,-0.173060475274873,-0.100755112601056,-0.160680830804502,-0.07567816426671,0.029607431829348,0.063533791819771,-0.085018214233648,-0.119975347556356,-0.039431459837529,-0.114098517338028,1,0.77%,7.64%,50.72%,2.38%
Alex Hoffman KETV,0.6196581197,0.5862068966,5,36,-7.5708630919271,-4.42301768909928,2.51175227302497,-12.4285788037903,-8.43550867452008,-6.70962321360604,-0.36933560076045,-6.26134149826259,-6.25156743484721,-5.84125841284598,-9.78728237080476,-14.4085602770784,-6.8236930707226,-0.227914266383634,-9.90979461569199,-14.9947574923973,9.48529193372124,-12.1876902090151,-6.1899840742255,1.08187842822971,-12.270121106125,2.31300988387493,19,266,242,43,-0.054907666709294,0.135157982246017,-0.10972284098967,-0.091766307806114,0.040042951133583,0.369171027263616,0.044722213876268,-0.026694553810613,-0.173407110005206,-0.187391232631349,-0.224749006099479,0.176854080404023,-0.035729137798673,0.235998272838208,2,0.36%,1.69%,2.54%,0.89%
Alexis Rivera WSVN,0.5235364218,0.6145958734,6.86,32,-5.09161913860216,-6.05290463930384,-0.028492332718655,-11.0156148176429,-18.8127005042379,4.38872833895525,-7.72329216008533,-6.012823931941,-6.23475350884541,-7.15027127108241,-10.2611347850855,-12.3229484174642,-13.9565370434919,-2.23956792606519,-4.14609815656681,-11.157444563018,8.2369702905952,-11.2326937920471,-3.23736663078134,-1.00962656549522,-9.32308758624005,1.89626988448998,19,266,242,43,-0.373266125731342,-0.017508610514006,0.179358962360254,-0.147586735605379,0.080733594719664,0.294633075620386,0.031783935194555,-0.040590272606512,-0.032164862769951,-0.016879772232326,-0.018357109028142,0.025677502046312,-0.163001925145589,0.003039379638865,2,1.43%,20.42%,44.83%,2.65%
Ali Lanyon WHTM,0.37,0.69,4.6,26,-7.58573485838054,-4.42733385314469,5.57531747350511,-9.62313583054361,-7.48115362808837,-4.75266138522962,0.858756521356079,-5.82222187296277,-4.32024655432177,-4.49539879945344,-8.84327342771242,-10.3072660402069,-3.82361961599,-1.81933270446809,-6.56694623080802,-12.6270004933755,6.89366991430877,-9.17337451864068,-3.14094057908607,-1.37845950869369,-8.61345828296061,2.01989065652568,19,266,242,43,0.371205410744237,-0.140112247418863,0.096770138466403,-0.162177649608503,-0.150898748061614,0.032565030947357,-0.05525461889731,-0.035083255581149,0.046027948932047,0.084801547023219,-0.030592617341203,-0.086617848237817,-0.044892916359578,-0.008247152957084,2,0.62%,5.70%,5.32%,1.51%
Ali Meyer KFOR,0.7155298268,0.66793832,6.18,48,-5.77052910970918,-7.31790827089594,1.69795129420934,-8.52813890528873,-14.3905362830902,-3.18195851074808,-3.19662242133857,-3.02848493250991,-7.37110445979988,-6.93068103532704,-6.53455213919417,-10.8603170966897,-8.9536575843328,1.13423596121061,-6.41254878919316,-15.0210209670972,7.68102459043956,-12.4309051372417,-3.18489955072804,2.37390652227453,-6.68047581850673,2.54416403874877,19,266,242,43,-0.092571543390321,0.042877538631168,-0.026019445354967,-0.075332976829455,0.056524098656917,0.165137687632552,0.00394669611962,0.027940161179812,0.002870457148389,-0.051828992588901,-0.044560690454129,0.087828388589657,-0.053267073597202,0.037188658496788,2,0.63%,8.72%,7.75%,2.21%
Ali Turiano CFLN,0.43,0.7,8,30,-5.72221506354536,-5.96972504057853,2.44592761736536,-11.2068891821521,-17.8006995437701,-8.05601680904113,-6.77044915918376,-3.85931839063591,-9.49977148124021,-9.11746339619698,-11.3530689573927,-14.7128782500643,-10.2970594858329,0.895910223934474,-8.11318616041269,-15.2443196861437,11.290998417443,-15.4596671966325,-6.46254753585002,0.953897944487771,-8.73014144819195,4.52665848471884,19,266,242,43,-0.391043346813485,-0.104958005970316,0.038459456570027,-0.076848186574883,0.071626452236228,0.379112137189937,0.003894149957489,-0.007680424049965,-0.015944284450272,-0.018881574058793,-0.012186467687019,0.119325273470037,-0.197397625502126,-0.070927434608929,1,1.29%,15.05%,2.98%,1.62%
