,Recall,PositiveRating,PerformanceRatio,Impact
,0.78779573010196,0.737515149598742,11.09,58
,0.613347204832884,0.706092758448514,7.53,43
,0.639639219313148,0.753824131540079,12.33,48
,0.485463731953684,0.715031376054964,7.64,35
,0.654522584865256,0.744990619491635,6.10,49
,0.389382678116052,0.520485484119795,2.26,20
,0.770904131939422,0.740371140324114,9.35,57
,0.736211904213034,0.718557829093279,7.89,53
,0.650176016150919,0.601324254536561,4.33,39
,0.642827936379348,0.664213489615921,7.13,43
,0.490337020674399,0.660490797222682,7.93,32
,0.373007080497387,0.68547033774769,5.79,26
,0.486182589096006,0.745575691108674,15.96,36
,0.414898604999721,0.596437451291582,4.15,25
,0.459027107523723,0.623682544664341,4.07,29
,0.260139497428297,0.435959482781765,1.74,11
,0.762424477468242,0.71632890500463,10.50,55
,0.755441587128387,0.641835063521369,6.36,48
,0.453923732718408,0.555987326085112,3.68,25
,0.432827274633452,0.591225066839386,5.89,26
,0.678743961352657,0.733096085409253,6.87,50
,0.475845410628019,0.588832487309645,4.00,28
,0.778625954198473,0.65359477124183,4.65,51
,0.732824427480916,0.652777777777778,4.27,48
,0.56234096692112,0.642533936651584,4.73,36
,0.402542372881356,0.505263157894737,2.29,20
,0.360169491525424,0.670588235294118,6.33,24
,0.416243654822335,0.591463414634146,2.62,25
,0.375634517766497,0.72972972972973,5.68,27
,0.50507614213198,0.653266331658292,5.00,33
,0.687789799072643,0.608988764044944,3.61,42
,0.451313755795981,0.585616438356164,3.00,26
,0.391035548686244,0.616600790513834,4.73,24
,0.372488408037094,0.701244813278008,7.35,26
,0.322926667998368,0.555489447337472,3.25,18
,0.477607017403155,0.590265390799953,3.07,28
,0.323862271963983,0.579531774985563,3.28,19
,0.268988522924557,0.469740055583576,2.24,13
,0.217840435067564,0.527301280082235,4.66,11
,0.726296189762494,0.601135359602996,3.80,44
,0.372218273167436,0.571916599192855,6.43,21
,0.195893573069432,0.445376497837803,3.08,9
,0.510975013013524,0.53777394188178,3.40,27
,0.783956245575735,0.756214230927161,9.29,59
,0.472964253106351,0.545920510999774,3.25,26
,0.728514950281749,0.676520565630973,5.82,49
,0.485480111982295,0.613152557920951,4.32,30
,0.558614363741008,0.639140846931098,5.04,36
,0.687484538543822,0.602367559007793,4.61,41
,0.569099231061655,0.590132166618921,3.62,34
,0.361920142720977,0.577515111524418,3.21,21
,0.392350392882357,0.621038122970189,3.86,24
,0.347222222222222,0.466666666666667,2.19,16
,0.576923076923077,0.637037037037037,9.56,37
,0.916666666666667,0.724747474747475,6.83,66
,0.555555555555556,0.566666666666667,3.16,31
,0.513888888888889,0.477477477477477,2.08,25
,0.722222222222222,0.662721893491124,5.89,48
,0.796296296296296,0.718023255813954,9.15,57
,0.715277777777778,0.608414239482201,5.88,44
,0.590277777777778,0.509803921568627,3.33,30
,0.346153846153846,0.493827160493827,2.50,17
,0.365740740740741,0.525316455696203,3.07,19
,0.326388888888889,0.453900709219858,2.37,15
,0.547717091471808,0.600427764377924,3.94,33
,0.639967610063959,0.658579435478345,5.02,42
,0.548411056411211,0.651430655053308,4.82,36
,0.530917979668167,0.628514186206045,5.39,33
,0.555378625166385,0.584684383385003,3.71,32
,0.505322069205134,0.547128892340496,3.05,28
,0.442401413971061,0.672056686270859,7.08,30
,0.505141357036457,0.662181725723673,7.76,33
,0.816424449182368,0.715850467050526,8.16,58
,0.851832171028196,0.858435462863983,17.12,73
,0.80551480080628,0.708573543275431,5.91,57
,0.671442327866583,0.622404201873884,4.60,42
,0.532594927213083,0.691160206883846,5.63,37
,0.85160444494417,0.722861375024304,11.85,62
,0.82002162994411,0.763706503100209,15.23,63
,0.801228876788958,0.720514807957418,11.68,58
,0.531799113919456,0.62339536611832,3.59,33
,0.378542619156964,0.748150285489117,13.96,28
,0.473458102776837,0.714884522761031,7.02,34
,0.491695837947293,0.598831302501129,3.66,29
,0.36647411035751,0.631554304732388,4.83,23
,0.271348436352098,0.57092394443303,4.63,15
,0.358925620577149,0.527391514300507,4.17,19
,0.337790089515945,0.628329057757296,5.43,21
,0.551805201407237,0.653292876183789,5.24,36
,0.592228592368386,0.717401713164465,14.19,42
,0.841881387898661,0.784422427227307,10.66,66
,0.48296052446441,0.59964621737119,4.39,29
,0.361791216113435,0.519538026864972,2.74,19
,0.784539741257979,0.697626189349123,9.55,55
,0.762957621384513,0.72404248616911,9.06,55
,0.655214153720104,0.634653731604162,5.76,42
,0.642329772272554,0.639624200447877,6.44,41
,0.5,0.634517766497462,3.79,32
,0.406091370558376,0.6,4.57,24
,0.469543147208122,0.594594594594595,4.58,28
,0.683153013910355,0.644796380090498,4.60,44
,0.655332302936631,0.622641509433962,4.63,41
,0.510046367851623,0.554545454545455,3.66,28
,0.443585780525502,0.623693379790941,4.37,28
,0.530139103554869,0.760932944606414,11.86,40
,0.369397217928903,0.665271966527197,5.48,25
,0.914081145584726,0.731070496083551,6.67,67
,0.365155131264917,0.620915032679739,4.32,23
,0.789976133651551,0.694864048338369,6.97,55
,0.649164677804296,0.654411764705882,5.24,42
,0.720763723150358,0.556291390728477,3.23,40
,0.548926014319809,0.604347826086956,4.09,33
,0.360381861575179,0.509933774834437,2.41,18
,0.281622911694511,0.627118644067797,4.93,18
,0.699635616110171,0.738964404478783,15.17,52
,0.548851527518287,0.728966973265682,7.17,40
,0.619513003375888,0.638184441550101,10.74,40
,0.404737873251586,0.653494425601114,5.23,26
,0.62735367937564,0.657640543232051,5.26,41
,0.528688150790758,0.68900826748776,13.24,36
,0.445211399545248,0.606430221306228,4.75,27
,0.718767678722845,0.65388524962731,8.14,47
,0.716724520883957,0.691564004625295,9.95,50
,0.694780010185544,0.685115631052163,11.49,48
,0.463583841605586,0.524385820941045,5.34,24
,0.382501766391936,0.48410247910333,4.42,19
,0.350027447565331,0.571692032844983,10.43,20
,0.302869122240166,0.573843935319747,6.52,17
,0.305364201858103,0.623305663213525,5.36,19
,0.780429594272076,0.761467889908257,12.45,59
,0.816229116945107,0.687134502923977,8.39,56
,0.902147971360382,0.767195767195767,11.15,69
,0.909307875894988,0.795275590551181,15.15,72
,0.756563245823389,0.694006309148265,7.33,53
,0.916467780429594,0.71875,5.52,66
,0.775656324582339,0.630769230769231,6.61,49
,0.682029822049653,0.59237005752697,4.07,40
,0.338940236753323,0.417830736731649,1.30,14
,0.330480824380135,0.403147087446969,1.79,13
,0.554479545778562,0.45686547276443,2.33,25
,0.63135593220339,0.684563758389262,7.29,43
,0.804071246819338,0.75,7.41,60
,0.789855072463768,0.700305810397553,5.45,55
,0.82442748091603,0.719135802469136,6.47,59
,0.75,0.717514124293785,5.29,54
,0.491525423728814,0.543103448275862,3.50,27
,0.733050847457627,0.734104046242775,7.47,54
,0.605932203389831,0.685314685314685,7.00,42
,0.591787439613527,0.697959183673469,6.84,41
,0.639593908629442,0.646825396825397,4.29,41
,0.571065989847716,0.622222222222222,3.33,36
,0.459390862944162,0.635359116022099,4.11,29
,0.682741116751269,0.75092936802974,10.10,51
,0.763523956723338,0.637651821862348,4.92,49
,0.749613601236476,0.725773195876289,8.80,54
,0.653786707882535,0.756501182033097,9.14,49
,0.494590417310665,0.70625,6.85,35
,0.469860896445131,0.625,4.22,29
,0.445131375579598,0.614583333333333,6.10,27
